设备名称,品牌,型号/规格,SN码,数量,状态
网络硬盘录像机,大华,DH-SH-WS,,1,在库
组合认证管理服务器（含软件）,大华,DH-FaceACR-S,,1,在库
组合认证前端采集设备,大华,DH-FaceACR-G,,1,在库
支架,大华,DH-ASF053-ZJ,,6,在库
道闸,大华,DH-SH-RZ951-YNB,,6,在库
智能门禁一体机,大华,DH-SH-MB9523Z-KL,,6,在库
LED补光灯,大华,DH-PFM522-D1,,7,在库
磁力锁支架,大华,DH-ASF280ZL,,8,在库
配件,大华,配件,,8,在库
智能认证USB防拔插设备,大华,DH-USB-CM508,,8,在库
磁力锁,大华,DH-ASF280A,,9,在库
安装支架,大华,DH-PFB605W,,10,在库
变焦镜头,大华,DH-OPT-117F3716D-IR12MP,,185,在库
网络摄像机,大华,DH-SH-HF9528P-I,,182,在库
开门按钮,大华,DH-ASF900,,197,在库
磁力锁支架,大华,DH-DL220L-I,,230,在库
磁力锁,大华,DH-ASF280BL,,235,在库
门禁读卡器,大华,DH-ASR2101A,,240,在库
笔记本电脑,联想,ThinkPad X1 Carbon Gen 13 (U5 32G 512G),SPF68QY5B,1,在库
笔记本电脑,联想,ThinkPad X1 Carbon Gen 13 (U5 32G 512G),SPF68QY65,1,在库
笔记本电脑,联想,ThinkPad X1 Carbon Gen 13 (U5 32G 512G),SPF68R05Y,1,在库
笔记本电脑,联想,ThinkPad X1 Carbon Gen 13 (U5 32G 512G),PF67C4YB,1,在库
笔记本电脑,联想,ThinkPad X9-14 Gen (U5 32G 512G),PF678DK3,1,在库
笔记本电脑,联想,ThinkPad X9-14 Gen (U5 32G 512G),PF6794Q1,1,在库
显示器,HP,HP-524pr Monitor,CN4546051H,1,在库
显示器,HP,HP-524pr Monitor,CN4546052N,1,在库
显示器,HP,HP-524pr Monitor,CN4546052T,1,在库
硬盘,希捷,14T,,400,在库
AP,思科,1PC9136I-ROW,SFVT2950L21E,1,在库
AP,思科,1PC9136I-ROW,SFVT2950L21T,1,在库
AP,思科,1PC9136I-ROW,SFVT2950L22A,1,在库
AP,思科,1PC9136I-ROW,SFVT2950L22E,1,在库
AP,思科,1PC9136I-ROW,SFVT2950L22G,1,在库
AP,思科,1PC9136I-ROW,SFVT2950L22H,1,在库
防火墙,paloalto,PAN-PA-415,028009003479,1,在库
防火墙,paloalto,PAN-PA-415,028009003511,1,在库
防火墙安装支架,paloalto,PAN-PA-400-POE-RACKTRAY,,2,在库
